faultNumber,simulationRun,sample,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
6,69,349,0.0,3651.8,4240.6,9.737,26.926,42.379,3000.0,73.618,120.41,0.21675,73.086,50.351,2920.2,25.648,49.523,3447.2,22.866,67.308,462.92,307.45,95.491,73.265,24.538,8.7098,35.55,6.7369,19.11,1.4904,21.24,13.429,38.516,1.2958,18.601,1.9397,3.4318,1.5861,0.0063529,1.0302,0.10859,54.28,42.641,65.202,45.44,100.0,99.742,100.01,2.3407,39.133,45.429,100.18,100.02,25.092
16,42,273,0.22179,3608.8,4467.9,9.5633,26.906,42.607,2708.5,75.038,120.37,0.31936,80.074,49.426,2637.1,26.893,51.503,3104.0,22.758,65.146,212.37,342.97,94.602,77.242,31.938,8.9039,26.17,6.9721,18.709,1.6582,33.065,13.934,24.027,1.2022,18.462,2.227,4.881,2.2508,0.028126,0.86613,0.11875,54.075,43.75,63.35,53.966,22.094,61.362,22.551,37.558,36.411,50.012,48.299,41.221,18.519
18,16,244,0.52553,3626.1,4354.7,8.54,26.854,42.043,2619.1,75.82,120.44,0.34864,81.317,50.553,2539.5,28.835,49.051,3045.9,23.558,62.224,150.33,305.89,95.997,74.882,29.142,9.4777,24.934,7.2837,21.348,1.6617,28.861,14.416,22.557,1.6108,22.711,2.3066,4.9197,2.3136,0.03737,1.2333,0.13192,54.239,43.784,62.881,52.417,51.565,57.367,13.702,44.581,39.729,44.338,28.697,38.225,19.477
12,56,176,0.23882,3698.5,4427.1,9.6856,26.572,42.731,2758.4,73.745,120.48,0.33445,82.416,50.276,2688.5,23.493,49.652,3164.5,21.279,63.331,153.22,339.11,93.512,79.641,31.427,8.6893,27.301,6.791,18.968,1.6121,31.815,13.393,24.854,1.2425,18.896,2.2833,4.8855,2.265,0.031133,1.0169,0.1048,53.93,43.412,63.527,53.767,23.529,61.587,21.993,39.775,38.912,45.727,29.4,43.97,23.203
9,74,302,0.25078,3709.8,4523.8,9.4136,27.16,42.237,2706.8,74.606,120.37,0.34275,79.831,48.968,2635.2,24.603,50.455,3104.5,22.86,66.01,242.28,342.03,94.648,77.412,32.615,8.9213,26.774,6.9895,18.544,1.7042,32.834,13.709,23.956,1.4532,18.401,2.2553,4.8725,2.3604,0.0075047,0.81474,0.096569,54.294,45.125,62.976,53.76,24.687,60.421,22.204,41.111,35.062,47.587,49.554,40.521,18.31
1,47,492,0.74985,3646.1,4525.9,8.8023,27.011,42.493,2712.7,74.992,120.38,0.30717,79.821,48.882,2642.0,26.098,49.358,3106.7,23.781,68.059,276.17,343.12,94.797,77.028,32.479,9.0551,26.626,6.8833,18.424,1.721,32.968,13.847,24.391,1.186,18.194,2.3021,4.7482,2.3644,0.0028349,0.84093,0.10942,53.668,43.846,61.343,53.504,73.848,58.289,22.976,35.909,34.81,45.049,61.394,40.358,16.126
11,13,286,0.25094,3628.3,4465.0,9.4006,26.869,42.296,2709.3,74.564,120.33,0.32502,80.38,48.838,2638.2,24.895,51.01,3105.7,23.502,65.967,229.17,342.49,94.585,77.297,32.312,8.8136,26.36,7.0624,18.676,1.6178,33.484,13.93,23.989,1.1828,18.127,2.1969,4.8344,2.2692,0.01744,0.81933,0.11332,53.796,43.587,62.269,53.807,24.461,63.184,22.6,37.674,34.68,48.871,47.967,43.729,16.696
15,21,162,0.2101,3646.6,4484.4,9.3367,26.656,42.317,2705.6,74.963,120.39,0.32909,80.349,50.908,2634.1,25.993,49.611,3101.6,23.588,65.819,227.93,341.14,94.604,77.539,32.468,8.846,26.458,6.8257,18.291,1.6996,33.067,13.858,24.202,1.4242,18.582,2.27,4.8666,2.4254,0.019469,0.82337,0.11125,53.833,43.929,63.293,53.515,20.415,61.65,22.275,38.822,40.773,45.634,47.425,41.28,16.508
16,24,449,0.22913,3611.2,4457.5,9.3235,26.926,42.06,2714.8,75.225,120.38,0.32947,79.979,49.996,2643.7,22.336,50.062,3111.1,22.98,64.474,202.63,340.5,94.524,77.028,31.705,8.6897,26.848,6.7993,18.724,1.6641,32.904,13.804,24.913,1.2872,18.329,2.2773,4.8755,2.2392,0.024503,0.85048,0.10638,54.093,43.778,62.777,53.807,22.493,60.433,22.46,39.206,38.088,46.677,38.244,40.674,18.036
5,69,113,0.16016,3680.0,4619.3,9.1979,26.749,42.12,2758.7,77.095,120.4,0.31311,79.045,50.801,2689.0,23.353,50.426,3150.3,22.622,61.063,117.13,343.77,94.858,76.75,32.157,8.5791,28.432,6.8804,18.044,1.5716,32.099,13.503,26.56,0.98035,17.111,2.1843,4.5543,2.2294,0.0045153,0.80853,0.090828,53.72,44.394,63.615,55.936,15.772,59.535,24.053,36.452,40.457,47.519,20.521,40.424,21.471
