faultNumber,simulationRun,sample,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
0,103,336,0.2553,3630.0,4483.1,9.4315,26.968,42.267,2695.9,74.378,120.41,0.3448,80.282,49.342,2624.4,23.833,48.936,3093.7,21.562,66.209,240.77,341.61,94.791,77.67,31.92,8.8617,26.206,7.0083,18.819,1.6591,33.015,13.785,23.908,1.2284,18.316,2.2547,4.9396,2.2783,0.022334,0.84219,0.096566,53.429,43.48,62.072,53.897,25.031,61.423,21.881,41.192,36.163,44.072,50.717,41.179,21.394
0,107,418,0.24501,3720.7,4441.8,9.317,27.091,42.469,2700.4,75.69,120.39,0.32058,80.05,49.33,2629.7,24.867,49.58,3097.6,23.129,65.932,230.45,341.21,94.487,76.979,32.533,8.8532,25.999,6.8892,18.792,1.6544,32.914,13.846,23.916,1.1503,18.795,2.252,4.9026,2.3219,0.016092,0.82287,0.081541,54.444,43.305,63.207,54.627,23.953,62.653,22.128,38.338,36.128,45.562,48.249,40.993,17.638
0,475,71,0.30803,3625.6,4533.1,9.3371,27.058,42.421,2698.1,75.242,120.38,0.3681,80.399,50.162,2626.4,25.356,49.305,3097.4,23.53,66.155,235.76,339.93,94.783,77.089,32.27,8.8337,26.24,7.0681,19.082,1.6934,32.675,13.774,23.497,1.311,18.709,2.2654,4.8926,2.2,0.022264,0.83728,0.10218,54.548,43.446,62.354,53.109,30.155,60.304,21.77,43.976,38.578,44.925,48.905,41.149,16.712
0,305,114,0.20238,3650.4,4509.7,9.4435,26.991,42.505,2702.6,75.311,120.38,0.33907,79.747,49.854,2631.0,24.145,50.609,3098.9,22.529,67.163,268.61,342.95,94.715,77.115,32.438,9.0073,26.412,6.9808,18.599,1.6602,33.184,13.929,23.843,1.3326,18.293,2.255,4.8496,2.3498,0.0071826,0.79692,0.094383,53.604,43.373,62.656,54.243,20.194,61.255,22.265,40.417,37.67,47.943,57.697,41.234,19.079
0,191,102,0.26507,3654.5,4509.6,9.4872,27.29,42.938,2701.8,74.006,120.42,0.34475,80.724,49.8,2631.0,23.596,51.291,3101.0,21.891,66.418,246.26,340.19,94.419,78.057,32.151,8.9644,26.183,6.8872,19.147,1.666,33.087,13.924,23.438,1.1484,18.475,2.2688,4.8204,2.2794,0.010712,0.82204,0.092251,54.389,42.772,63.061,53.595,25.774,59.641,22.081,41.499,37.511,49.521,51.69,41.315,20.542
0,213,237,0.23301,3666.1,4470.0,9.3703,26.665,42.195,2700.3,74.681,120.41,0.34448,80.03,50.334,2629.2,25.335,49.573,3095.5,23.072,65.963,239.37,342.09,94.64,77.25,31.913,9.0454,26.086,6.9582,18.503,1.6477,33.48,13.665,23.496,1.1334,19.1,2.2166,4.7972,2.3171,0.0050088,0.83982,0.11152,54.005,44.226,63.166,54.154,23.139,61.707,22.566,41.593,39.082,45.545,49.763,41.29,17.859
0,435,375,0.26241,3706.2,4518.2,9.237,26.602,42.524,2707.9,76.147,120.41,0.30902,79.66,50.792,2637.7,26.92,50.299,3103.6,22.836,66.247,247.48,342.63,94.635,77.003,31.966,9.0182,26.352,6.9533,18.064,1.6502,32.942,13.603,24.241,1.1833,18.455,2.276,4.7936,2.1437,0.023117,0.79514,0.083635,53.794,44.295,63.018,54.499,25.838,59.607,22.621,37.312,40.43,47.226,51.746,41.064,18.472
0,357,11,0.21836,3642.1,4499.1,9.1656,26.76,42.038,2703.4,74.379,120.35,0.32473,80.243,50.206,2632.3,24.514,49.385,3101.2,23.917,65.788,231.99,340.6,94.754,77.345,32.138,8.8372,26.358,7.0465,18.752,1.6597,33.251,13.951,24.078,1.2857,18.595,2.3191,4.8821,2.2958,0.022942,0.86191,0.10469,53.216,43.726,62.15,54.076,21.727,62.036,21.7,38.904,38.707,45.11,47.062,40.888,15.795
0,53,464,0.21607,3663.5,4445.3,9.3533,26.791,42.233,2703.3,74.748,120.4,0.3519,79.954,48.984,2630.9,25.202,50.482,3099.7,22.647,66.017,237.24,342.32,94.883,77.169,31.821,8.7954,26.162,6.8267,19.043,1.6472,32.96,13.891,23.675,1.4375,18.841,2.237,4.9128,2.3139,0.017591,0.83985,0.10756,54.297,43.695,62.662,53.26,21.266,62.497,22.199,42.03,35.111,47.648,49.664,40.958,18.843
0,257,148,0.26254,3656.5,4425.2,9.1897,26.666,41.909,2697.8,74.647,120.39,0.32343,80.304,50.472,2626.6,26.648,50.557,3096.8,22.248,66.027,239.6,339.35,94.82,77.309,32.351,8.9706,25.938,6.9137,19.278,1.6159,33.007,13.858,23.646,1.209,19.132,2.2639,4.9209,2.3377,0.0167,0.89105,0.082525,53.711,44.257,62.306,53.48,25.743,62.505,21.589,38.97,39.489,47.824,50.232,40.441,19.915
0,255,313,0.24625,3705.4,4490.0,9.3623,26.499,41.807,2706.5,75.184,120.42,0.33817,80.209,48.894,2636.6,24.665,49.813,3101.6,22.665,65.983,239.41,342.89,94.518,77.703,32.255,8.8929,26.422,6.971,18.243,1.6334,33.389,13.849,23.925,1.3347,18.102,2.2392,4.9172,2.265,0.016318,0.81988,0.10925,52.808,44.336,63.226,54.946,24.445,60.045,22.52,41.018,34.846,46.102,49.519,41.624,18.746
